S/N,Publication Details,Year
143,"Dhanora, M., Ruchi Sharma. 2020. Patent Policy and Relationship Between Innovation and Monopoly 
Power: Evidence from Indian High and Medium Technology Industries in FDI, Technology and 
Innovation, edited by Prof. N. S. Sidharthan and Prof. K. Narayana. Springer: Singapore.  ",2020
144,"Ghoshal, Ananya. Reading interrupted: Translating disability in 'Subha', in Disability in Translation: The 
Indian Experience. Routledge Abingdon, Oxfordshire, and New York), 2020.",2020
145,"Mishra, Neeraj. 2020. Social Engineering and Sustainability: Revisiting Popper’s ‘Piecemeal Approach’ . In Rao, 
Y.S., Zhang, T.C., Goyal, M.K. (eds.) Sustainability: Fundamentals and Applications. Oxford. John Wiley 
& Sons Ltd.",2020
146,"Mishra, Neeraj. 2020. Global Governance of COVID-19: Decline of Public Sphere And Transnational Democracy. 
In Goyal, M.K., Gupta, A.K. (eds.). Integrated Risk of Pandemic: COVID-19 Impacts, Resilience and 
Recommendations. Singapore. Springer Nature.  ",2020
147,"Das, Aratrika. 2019. “When Bhimayana enters the classroom...”, in Indian Genre Fiction – Pasts and 
Future Histories, Eds. Bodhisattva Chattopadhayay, Aakriti Mandhwani, Anwesha Maity. ",2019
148,"Kumar, Akshaya. (2019) ‘Consolidating Bollywood: Spectacularity Without Stardom.’ In Sharon 
Heijin Lee, Monika Mehta, and Robert Ji-Song Ku (eds) Pop Empires: Transnational and Diasporic Flows 
of India and Korea. Honolulu: University of Hawaii Press, pp. 138-154.",2019
149,"Kumar, Akshaya. (2019) ‘Insurrectionary Tendencies: The Viral Fever Comedies and Indian Media.’ In 
Adrian Athique and Emma Baulch (eds) Digital Transactions in Asia: Economic, Informational, and Social 
Exchanges. London: Routledge, pp. 192-204.",2019
150,"Kumar, Akshaya. (2019) ‘The Diffused Substance of Bhojpuri Indigeneity.’ In Markus Schleiter and 
Erik de Maaker (eds) Media, Indigeneity and Nation in South Asia. London: Routledge, pp. 90-104. ",2019
151,"Ghoshal, Ananya. Reading interrupted: Translating disability in 'Subha' published in Disability in 
Translation: The Indian Experience, Indian edition, Routledge India, Taylor & Francis Group, 2019. 
DOI:https://doi.org/10.4324/9780429319570. ",2019
152,"Najar, S., & Khanganba S. P. (2019). Suppressed articulatory rehearsal mechanism and driving errors. 
In Advances in Intelligent Systems and Computing (pp. 55–61). Springer International Publishing. ",2019
153,"Sharma, P. and K. Singh (2018) Sustainable Development: Dimensions, Intersections and Knowledge 
Platform. In: Sustainability: Fundamentals and Applications, John Wiley and Sons Limited. ",2018
154,"Joshi, S., Sharma, P., (2018) Mapping meso-economic impacts of grid connected solar PV 
deployments in India: A Social Accounting Matrix Approach In K. Mukhopadhyay Ed. Applications 
of the Input-Output Framework. Springer Nature, Singapore, DOI: 10.1007/978-981-13-1507-7",2018
155,"Jayaraj, T., & Kumar, R. (2018). Identity Representations and Variation in Pronouns and Kinship 
Terms: A Study on Sociolects of Malayalam. In Rajesh Kumar & Om Prakash (Eds.), Language, Identity 
and Contemporary Society. London: Cambridge Scholars Publishing. ",2018
156,"K. Palanisami, T. Mohanasundari and K.K. Reddy (2017). “Policy Support: Challenges and 
Opportunities in Abiotically Stressed Agroecosystem”, in P.S. Minhas, J. Rane and R.K. Pasala (Eds.), 
Abiotic Stress Management for Resilient Agriculture. Springer International Publishing. Pg. 475-491. ",2017
157,"Jain, Akriti, Ruchi Sharma and P. Vigneswara Ilavarasan. 2017. Measuring Innovation by Universities 
& Higher Academic Technical Institutions in India: Total Interpretive Structural Modelling Based 
Framework, in Flexibility in Resource Management, edited by Sushil, T. P. Singh, Anand J. Kulkarni. 
Springer: Singapore. [ISBN: 978-981-10-4887-6] ",2017
158,"K. Palanisami, K. K. Reddy, S. Raman and T. Mohanasundari (2016). “Policy Options for 
Better Implementation of Micro Irrigation: Case Study of India”, in A. Singh and M.R. Goyal 
(Eds.), Policy Options: Drip Irrigation among Adopters. Micro Irrigation Management for 
Horticultural Crops-Policy Options, Scheduling, and Design. AAP Publications. 6:17-31.",2016
159,"Sharma, Ruchi. 2016. Geographical Indications and Rural Development in India: A Survey. In Rural 
Development in India, edited by Abdul Azeez NP and S. M. Jawed Akhtar, AbeBooks: India. [ISBN 13: 
9789351281528]",2016
160,"Ambrammal, Suni K. and Ruchi Sharma. 2016. Patenting and Technical Efficiency of Manufacturing 
firms in India: Evidence from Medium and High Technology Firms, in Technology-Corporate and Social 
Dimensions, edited by N.S. Siddharthan and K. Narayana, Springer: India. [ISBN 978-981-10-1684-4] ",2016
161,"Dhanora, Madan, and Ruchi Sharma. 2016. Do Intellectual Property Rights Encourage Business 
Opportunity? in IP for Development: The Emerging Paradigm, edited by Mukundan R., Shishir K. Jha and 
Karuna Jain. Excel India Publishers. [ISBN: 978-93-85777-79-0]",2016
162,"Jain, Akriti, Ruchi Sharma and P. Vigneswara Ilavarasan. 2016. Measuring Research Efficiency of 
Higher Academic Premier Technical Institutions of India: A Data Envelopment Analysis based 
Malmquist Productivity Index Approach, in IP for Development: The Emerging Paradigm, edited by 
Mukundan R., Shishir K. Jha and Karuna Jain. Excel India Publishers. [ISBN: 978-93-85777-79-0] ",2016
163,"Das, Aratrika. “The Matter that matters – Re-thinking Corporeality in a Computer Game”, in Sport, 
Literature, Culture. Eds. Poonam Trivedi and Supriya Chaudhuri (New Delhi: Orient 
Blackswan, 2015).",2015
164,"Mohanasundari, T. and R. Balasubramanian (2015). “Impact of Climatic and Anthropogenic Factors 
on Groundwater Irrigation in South India”, in K.W. Hipel, L.Fang, J.Cullmann and M.Bristow (Eds.), 
Conflict Resolution in Water Resources and Environmental Management, Springer International 
Publishing. Pg.277-291.",2015
165,"Kumar, Akshaya. (2014) ‘The Aesthetics of Pirate Modernities: Bhojpuri Cinema and the 
Underclasses.’ In Raminder Kaur and Parul Dave-Mukherji (eds) Arts and Aesthetics in a Globalizing 
World. London: Bloomsbury, pp. 185-203.",2014
166,"Ashok Kumar Mocherla. 2014. ‘Interlocking Caste with Congregation: A Political Necessity for Dalit 
Christians in Andhra, South India’. In: Chad Bauman & Richard F Young (Ed). Constructing Indian 
Christianities: Conversion, Culture and Caste. New Delhi: Routledge Publication, Pp. 45-57.",2014
167,"Dixit, S., Bhatia, V., Khanganba, S. P., & Agrawal, A. (2022). 6G: Sustainable development for rural and 
remote communities. ISBN: 978-981-19-0339-7, https://doi.org/10.1007/978-981-19-0339-7, Springer 
Nature.",2022
168,"Menon, Nirmala, Justy Joseph, Shanmugapriya T and Deborah Sutton. Electronic Literature from India 
Vol I, KSHIP (Knowledge Sharing in Publishing), IIT Indore 2022.",2022
169,"Kumar, Akshaya. Provincializing Bollywood: Bhojpuri Cinema in the Comparative Media Crucible. (Oxford 
University Press, 2021).  ",2021
170,"Shomik Dasgupta, Ethics, Distance and Accountability: The Political thought and intellectual context of 
Rammohun Roy, c.1772-1833 (Oxford University Press India: November 2021). ",2021
171,"Mocherla, Ashok Kumar. Dalit Christians in South India: Caste, Ideology, and Lived Religion. London: 
Routledge. 2020.",2020
172,"Jason M. Kelly, Fiona P. McDonald, Alejandro Camargo, Amelia Moore, Mark Kesling, Ananya 
Ghoshal, George Marcus, Paul Stoller, Dominic Boyer, Serenella Iovino, Rebecca Ballestra, Eduardo 
S. Brondizio, Jim Enote, Ignatius Gutsa, Cymene Howe, Sue Jackson, and Phil Scarpino. 2017. An 
Anthropocene Primer Version 1.0 (https://anthropoceneprimer.com/). Published by: Arts & Humanities 
Institute, Indiana University and Purdue University, Indianapolis (IUPUI). ",2017
173,"Menon, Nirmala. Remapping the Indian Postcolonial Canon: Remap, Reimagine and Retranslate. Palgrave 
Macmillan, Springer Nature 2017 https://doi.org/10.1057/978-1-137-53798-0. ",2017
174,"Menon, Nirmala and Marika Preziuso (Ed) Migrant Identities of «Creole Cosmopolitans»: 
Transcultural Narratives of Contemporary Postcoloniality (Postcolonial Studies), Peter Lang 
Publishing, Germany, https://doi.org/10.3726/978-1-4539-1104-4 July 2014.",2014
175,"C. Upendra. In Defense of Liberal-Pluralism. Cambridge Scholars Publishing, 2014 [Revised Edition] ",2014
176,"Jayaraj, T. (2022). Visibility of Morphosyntactic Variations: A Study of Malabar Mappila Malayalam. 
The Journal of Asian Linguistic Anthropology. Volume 4 Issue 4. DOI: 10.47298/jala.v4-i4-a2",2022
177,"Sharma Aparna, and Ruchi Sharma. 2022. “Patent Citing Patterns of Foreign Firms: An Analysis of 
Indian IT Services Industry” Asian Journal of Technology Innovation. 25:1-27 ",2022
178,"Ruchi Sharma, Arushi Jain and S. Panda. 2022. “Bilateral Trade Potential of IP Sensitive Products: A 
Comparative Study of India and China” Asian Journal of Innovation Policy. 11(1): 69-86",2022
179,"Danish, M. S., P. Ranjan, and Ruchi Sharma. 2022. “Assessing the Impact of Patent Attributes on the 
Value of Discrete and Complex Innovation” International Journal of Innovation Management. 26 
(2):2250016",2022
180,"Justin, Jyothi and Nirmala Menon. 2022. “Indian Intersectional Ecofeminism and Sustainability: A 
Study on Mayilamma: The Life of a Tribal Eco-Warrior and Jharkhand’s Save the Forest Movement”. 
Journal of Ecohumanism. Transnational Press of London, UK. ",2022
181,"Joseph, Justy and Nirmala Menon. “Enumerating Identities in the Certitude of African Indigenity in 
Chimamanda Ngozi Adichie’s Americanh”, IUP Journal of English Studies, January, 2022.",2022
182,"Joseph, Justy and Nirmala Menon. “Electronic Literature in India: Where is it? Does it even exist?”, 
Routledge Publications, 2022. ",2022
183,"Pradhan, KC., and Sharma, R. (2022). Assessing the spatiotemporal financial inclusion and its 
determinants: a sub-national analysis of India, Indian Asia-pacific Journal of Regional Sciences. ",2022
184,"S Talukdar, MW Naikoo, J. Mallick, B. Praveen, P Sharma, ARMT Islam, Swades Pal, Atiqur Rahman 
(2022). Coupling geographic information system integrated fuzzy logic-analytical hierarchy process 
with global and machine learning based sensitivity analysis for agricultural suitability mapping, 
Agricultural Systems, Vol. 196, 103343",2022
185,"Sharma, P., & Patra, S. K. (2022). A multidimensional model for cyclone vulnerability assessment of 
urban slum dwellers in India: A case study of Bhubaneswar city. International Journal of Disaster Risk 
Reduction, 103439",2022
,,
,,
